"WeekInDayFmt","Sku","Store","Sales"
20070609,1383769,17,1
20070616,1383769,17,4
20070630,1383769,17,1
20070707,1383769,17,7
20070728,1383769,17,2
20070804,1383769,17,5
20070825,1383769,17,4
20070901,1383769,17,1
20070908,1383769,17,7
20071006,1383769,17,6
20071013,1383769,17,4
20071020,1383769,17,7
20051203,1383769,19,1
20060121,1383769,19,1
20051029,1383769,21,1
20051105,1383769,21,2
20051112,1383769,21,1
20051126,1383769,21,2
20051210,1383769,21,16
20051217,1383769,21,3
20060211,1383769,21,2
20060311,1383769,21,1
20060318,1383769,21,3
20060401,1383769,21,2
20060415,1383769,21,1
20060429,1383769,21,1
20060513,1383769,21,1
20060520,1383769,21,1
20060603,1383769,21,2
20060610,1383769,21,3
20060617,1383769,21,4
20060812,1383769,21,1
20060826,1383769,21,8
20060916,1383769,21,1
20060923,1383769,21,1
20061007,1383769,21,2
20061021,1383769,21,2
20061028,1383769,21,1
20061111,1383769,21,2
20061209,1383769,21,1
20061223,1383769,21,1
20061230,1383769,21,1
20070113,1383769,21,1
20070120,1383769,21,1
20070210,1383769,21,2
20070217,1383769,21,1
20070224,1383769,21,5
20070317,1383769,21,2
20070331,1383769,21,2
20070414,1383769,21,5
20070428,1383769,21,2
20070519,1383769,21,1
20070526,1383769,21,1
20070609,1383769,21,4
20070616,1383769,21,1
20070707,1383769,21,1
20070728,1383769,21,2
20070804,1383769,21,3
20070811,1383769,21,1
20070825,1383769,21,3
20070908,1383769,21,5
20071006,1383769,21,1
20071013,1383769,21,4
20071020,1383769,21,2
20051210,1383769,22,6
20051217,1383769,22,1
20051224,1383769,22,1
20060617,1383769,22,1
20051112,1383769,23,1
20051203,1383769,23,1
20051210,1383769,23,10
20051217,1383769,23,6
20051224,1383769,23,1
20060121,1383769,23,2
20060225,1383769,23,1
20060318,1383769,23,1
20060408,1383769,23,1
20060415,1383769,23,1
20060422,1383769,23,1
20060506,1383769,23,1
20051119,1383769,24,1
20051126,1383769,24,2
20051210,1383769,24,23
20051224,1383769,24,4
20051231,1383769,24,1
20060107,1383769,24,1
20060121,1383769,24,2
20060204,1383769,24,3
20060218,1383769,24,1
20060225,1383769,24,5
20060304,1383769,24,2
20060318,1383769,24,5
20060325,1383769,24,2
20060401,1383769,24,8
20060408,1383769,24,1
20060415,1383769,24,2
20060513,1383769,24,2
20060527,1383769,24,1
20060603,1383769,24,1
20060610,1383769,24,1
20060617,1383769,24,2
20060701,1383769,24,5
20060805,1383769,24,3
20060826,1383769,24,4
20060902,1383769,24,1
20060909,1383769,24,2
20060916,1383769,24,11
20061021,1383769,24,1
20061028,1383769,24,1
20061125,1383769,24,1
20061209,1383769,24,2
20061216,1383769,24,1
20070106,1383769,24,2
20070120,1383769,24,1
20070127,1383769,24,1
20070217,1383769,24,3
20070310,1383769,24,1
20070317,1383769,24,3
20070324,1383769,24,1
20070407,1383769,24,1
20070414,1383769,24,2
20070421,1383769,24,2
20070519,1383769,24,2
20070602,1383769,24,3
20070616,1383769,24,2
20070630,1383769,24,2
20070707,1383769,24,4
20070714,1383769,24,1
20070721,1383769,24,1
20070728,1383769,24,1
20070804,1383769,24,5
20070825,1383769,24,1
20070908,1383769,24,15
20071006,1383769,24,3
20071013,1383769,24,2
20071020,1383769,24,3
20051112,1383769,26,1
20051210,1383769,26,2
20051126,1383769,27,1
20051203,1383769,27,1
20051231,1383769,27,1
20061021,1383769,27,3
20061104,1383769,27,2
20061111,1383769,27,4
20061202,1383769,27,1
20061209,1383769,27,1
20061216,1383769,27,1
20070113,1383769,27,1
20070120,1383769,27,2
20070127,1383769,27,3
20070203,1383769,27,1
20070210,1383769,27,1
20070217,1383769,27,1
20070224,1383769,27,5
20070317,1383769,27,3
20070331,1383769,27,3
20070414,1383769,27,6
20070505,1383769,27,1
20070512,1383769,27,1
20070526,1383769,27,1
20070616,1383769,27,4
20070707,1383769,27,2
20070714,1383769,27,1
20070721,1383769,27,1
20070728,1383769,27,3
20070804,1383769,27,3
20070825,1383769,27,3
20070908,1383769,27,11
20070922,1383769,27,1
20071006,1383769,27,4
20051029,1383769,28,1
20051112,1383769,28,2
20051126,1383769,28,1
20051210,1383769,28,5
20060114,1383769,28,1
20061104,1383769,28,2
20061216,1383769,28,3
20070106,1383769,28,1
20070120,1383769,28,1
20070203,1383769,28,1
20070210,1383769,28,1
20070224,1383769,28,1
20070317,1383769,28,2
20070407,1383769,28,1
20070414,1383769,28,2
20070421,1383769,28,2
20070602,1383769,28,1
20070616,1383769,28,4
20070707,1383769,28,1
20070728,1383769,28,2
20070804,1383769,28,5
20070908,1383769,28,6
20071006,1383769,28,7
20071013,1383769,28,1
20071020,1383769,28,1
20051105,1383769,29,1
20051112,1383769,29,2
20051119,1383769,29,3
20051210,1383769,29,5
20051217,1383769,29,2
20051224,1383769,29,2
20051231,1383769,29,6
20060107,1383769,29,1
20060121,1383769,29,5
20060204,1383769,29,1
20060218,1383769,29,3
20060225,1383769,29,5
20060304,1383769,29,1
20060318,1383769,29,3
20060401,1383769,29,8
20060506,1383769,29,1
20060513,1383769,29,9
20060527,1383769,29,1
20060617,1383769,29,6
20060624,1383769,29,2
20060701,1383769,29,2
20060715,1383769,29,2
20060729,1383769,29,2
20060805,1383769,29,4
20060812,1383769,29,1
20060819,1383769,29,2
20060826,1383769,29,10
20060916,1383769,29,5
20061021,1383769,29,3
20061028,1383769,29,2
20061104,1383769,29,2
20061118,1383769,29,3
20061125,1383769,29,1
20061202,1383769,29,2
20061209,1383769,29,4
20061223,1383769,29,1
20070120,1383769,29,1
20070127,1383769,29,1
20070210,1383769,29,3
20070217,1383769,29,1
20070303,1383769,29,1
20070317,1383769,29,2
20070331,1383769,29,2
20070407,1383769,29,4
20070414,1383769,29,1
20070421,1383769,29,3
20070505,1383769,29,1
20070512,1383769,29,1
20070602,1383769,29,1
20070623,1383769,29,2
20070630,1383769,29,1
20070707,1383769,29,7
20070721,1383769,29,2
20070728,1383769,29,1
20070804,1383769,29,2
20070811,1383769,29,1
20070818,1383769,29,2
20070825,1383769,29,2
20070901,1383769,29,1
20070908,1383769,29,4
20070915,1383769,29,1
20070922,1383769,29,1
20070929,1383769,29,1
20071006,1383769,29,5
20071013,1383769,29,3
20051119,1383769,30,1
20051210,1383769,30,6
20060107,1383769,30,3
20060114,1383769,30,1
20060121,1383769,30,1
20060204,1383769,30,1
20060225,1383769,30,1
20060304,1383769,30,3
20060311,1383769,30,2
20060513,1383769,30,2
20060520,1383769,30,2
20060527,1383769,30,2
20060603,1383769,30,2
20060610,1383769,30,1
20060617,1383769,30,1
20060624,1383769,30,2
20060701,1383769,30,1
20060715,1383769,30,1
20060722,1383769,30,1
20060729,1383769,30,2
20060805,1383769,30,3
20060826,1383769,30,10
20061007,1383769,30,1
20061021,1383769,30,4
20061028,1383769,30,2
20061118,1383769,30,1
20061209,1383769,30,2
20070106,1383769,30,2
20070113,1383769,30,1
20070120,1383769,30,1
20070210,1383769,30,4
20070217,1383769,30,1
20070224,1383769,30,2
20070303,1383769,30,1
20070310,1383769,30,1
20070317,1383769,30,3
20070414,1383769,30,2
20070505,1383769,30,2
20070512,1383769,30,2
20070526,1383769,30,1
20070602,1383769,30,2
20070616,1383769,30,1
20070623,1383769,30,2
20070630,1383769,30,1
20070707,1383769,30,2
20070714,1383769,30,1
20070721,1383769,30,1
20070728,1383769,30,2
20070804,1383769,30,5
20070825,1383769,30,1
20070908,1383769,30,6
20071006,1383769,30,3
20071013,1383769,30,3
20071020,1383769,30,5
20061021,1383769,31,2
20061118,1383769,31,1
20061125,1383769,31,1
20061223,1383769,31,1
20070120,1383769,31,3
20070331,1383769,31,4
20070414,1383769,31,1
20070421,1383769,31,2
20070512,1383769,31,1
20070519,1383769,31,1
20070616,1383769,31,1
20070623,1383769,31,2
20070707,1383769,31,7
20070804,1383769,31,1
20070825,1383769,31,3
20070908,1383769,31,5
20061104,1383769,32,2
20061209,1383769,32,1
20070120,1383769,32,2
20070310,1383769,32,1
20070317,1383769,32,2
20070324,1383769,32,1
20070407,1383769,32,1
20070414,1383769,32,2
20070421,1383769,32,6
20070428,1383769,32,1
20070512,1383769,32,2
20070519,1383769,32,1
20070526,1383769,32,1
20070616,1383769,32,4
20070630,1383769,32,1
20070707,1383769,32,2
20070728,1383769,32,1
20070825,1383769,32,3
20070901,1383769,32,2
20070908,1383769,32,2
20070929,1383769,32,1
20071006,1383769,32,3
20071013,1383769,32,1
20071020,1383769,32,1
20051105,1383769,33,3
20051210,1383769,33,3
20051217,1383769,33,4
20060121,1383769,33,2
20060128,1383769,33,1
20060211,1383769,33,1
20061021,1383769,33,2
20061028,1383769,33,1
20061104,1383769,33,1
20061111,1383769,33,1
20061202,1383769,33,1
20061216,1383769,33,1
20061230,1383769,33,4
20070120,1383769,33,1
20070127,1383769,33,1
20070203,1383769,33,3
20070210,1383769,33,1
20070303,1383769,33,1
20070310,1383769,33,1
20070317,1383769,33,5
20070324,1383769,33,1
20070407,1383769,33,3
20070414,1383769,33,1
20070512,1383769,33,1
20070609,1383769,33,2
20070616,1383769,33,1
20070707,1383769,33,1
20070728,1383769,33,2
20070804,1383769,33,6
20070825,1383769,33,2
20070908,1383769,33,1
20070929,1383769,33,1
20071006,1383769,33,2
20051112,1383769,35,2
20061028,1383769,35,2
20061111,1383769,35,1
20061202,1383769,35,1
20061209,1383769,35,1
20061216,1383769,35,3
20061223,1383769,35,1
20070106,1383769,35,1
20070120,1383769,35,1
20070217,1383769,35,2
